 written on 25Nov2024 at 14:44:44 
   2.5102669204009289        0.0000000000000000        0.0000000000000000     
  -1.2551334602004645        2.1739539018422445        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        14.999999580211844     
           6
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    3    3    0.12788002E-01  0.55426663E-03
    4    3   -0.19121481E-03 -0.27520392E-04
    5    3   -0.67004191E-02  0.33557659E-02
    6    3    0.50381806E-02 -0.43805837E-02
    1    4   -0.47098927E-02  0.34578771E-02
    2    4   -0.93262292E-04  0.26831823E-04
    3    4   -0.83344264E-03  0.41894097E-04
    4    4    0.46548830E-02 -0.50130630E-04
    5    4   -0.13799042E-03  0.42533997E-04
    6    4   -0.28418581E-04  0.58229261E-04
    1    5   -0.15515034E-03  0.62664743E-04
    2    5   -0.35458230E-02  0.61054400E-04
    3    5   -0.38854143E-01 -0.83898536E-02
    4    5    0.12584123E-03  0.51284408E-04
    5    5    0.34209898E-02 -0.74441512E-03
    6    5    0.58905007E-03 -0.56424931E-03
    1    6   -0.11094527E-03 -0.81159452E-05
    2    6   -0.23403819E-03  0.70396478E-04
    3    6   -0.76401581E-01 -0.19125050E-01
    4    6   -0.21434353E-04  0.32001591E-04
    5    6    0.17094352E-02  0.13927661E-02
    6    6    0.12079155E-02  0.73444681E-03

   -3   -3    0
    1    1    0.10726586E-01  0.34641036E-05
    2    1   -0.11656408E-03 -0.26879262E-04
    3    1   -0.47349204E-03 -0.10307124E-04
    4    1   -0.21660555E-01 -0.12931071E-01
    5    1    0.43615981E-03  0.28209646E-04
    6    1    0.77717942E-04  0.81216727E-04
    1    2   -0.32655992E-03  0.15582667E-03
    2    2   -0.40401234E-02 -0.47931551E-04
    3    2    0.37931504E-02  0.13257770E-01
    4    2    0.19502295E-03  0.10881872E-04
    5    2    0.17267852E-03 -0.15527949E-02
    6    2    0.36897144E-02 -0.69020662E-03
    1    3    0.18297851E-03  0.16584319E-03
    2    3   -0.11500242E-01 -0.39619676E-02
    3    3    0.14113547E-01 -0.34224097E-04
    4    3    0.13429726E-02  0.56978814E-03
    5    3    0.39207320E-01 -0.88754418E-02
    6    3    0.22855787E-01 -0.55146765E-03
    1    4   -0.21665862E-01  0.12938166E-01
    2    4   -0.52859261E-04  0.59766138E-04
    3    4    0.20717455E-02 -0.35900766E-03
    4    4    0.18469545E-01  0.13751939E-05
    5    4   -0.32772841E-03  0.21300471E-03
    6    4   -0.12267286E-04  0.10433925E-04
    1    5    0.29407406E-03  0.42555883E-04
    2    5   -0.34781695E-02 -0.44877144E-04
    3    5    0.82312136E-01  0.23969965E-01
    4    5   -0.17664652E-03 -0.12942608E-03
    5    5   -0.46982604E-03 -0.11083652E-02
    6    5    0.33359002E-02 -0.48656330E-03
    1    6   -0.20007195E-04  0.48980220E-04
    2    6   -0.89111686E-04 -0.15040939E-02
    3    6    0.73242855E-01  0.82997973E-02
    4    6    0.28282841E-04  0.34542179E-04
    5    6   -0.95091027E-03 -0.14239752E-03
    6    6   -0.26481681E-03  0.11856815E-02

   -3   -2    0
